Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
537750,KIRANVYPAR,Kiran Vyapar Ltd,18 Sep 2023,Final Dividend - Rs. - 1.0000,-,20 Sep 2023,26 Sep 2023,13 Sep 2023,20 Sep 2023,-
500250,LGBBROSLTD,LG Balakrishnan & Bros Ltd,18 Sep 2023,Dividend - Rs. - 16.0000,-,19 Sep 2023,25 Sep 2023,13 Sep 2023,18 Sep 2023,-
532998,LOTUSEYE,Lotus Eye Hospital And Institute Ltd,18 Sep 2023,Final Dividend - Rs. - 0.5000,-,19 Sep 2023,25 Sep 2023,13 Sep 2023,18 Sep 2023,-
590078,MAITHANALL,Maithan Alloys Ltd,18 Sep 2023,Final Dividend - Rs. - 6.0000,-,20 Sep 2023,26 Sep 2023,13 Sep 2023,20 Sep 2023,-
530011,MANGCHEFER,Mangalore Chemicals & Fertilizers Ltd,18 Sep 2023,Final Dividend - Rs. - 1.5000,-,20 Sep 2023,26 Sep 2023,13 Sep 2023,20 Sep 2023,-
503101,MARATHON,Marathon Nextgen Realty Ltd,18 Sep 2023,Final Dividend - Rs. - 1.0000,-,19 Sep 2023,27 Sep 2023,13 Sep 2023,18 Sep 2023,-
523704,MASTEK,Mastek Ltd,18 Sep 2023,Final Dividend - Rs. - 12.0000,-,20 Sep 2023,21 Sep 2023,13 Sep 2023,20 Sep 2023,-
500159,METROGLOBL,Metroglobal Ltd,18 Sep 2023,Final Dividend - Rs. - 2.5000,19 Sep 2023,-,-,13 Sep 2023,18 Sep 2023,-
512153,MLINDLTD,M Lakhamsi Industries Ltd,18 Sep 2023,Final Dividend - Rs. - 0.1000,18 Sep 2023,-,-,12 Sep 2023,18 Sep 2023,-
526263,MOLDTECH,Mold-Tek Technologies Ltd,18 Sep 2023,Final Dividend - Rs. - 1.4000,-,20 Sep 2023,26 Sep 2023,13 Sep 2023,20 Sep 2023,-
533080,MOLDTKPAC,Mold-Tek Packaging Ltd,18 Sep 2023,Final Dividend - Rs. - 2.0000,-,20 Sep 2023,26 Sep 2023,13 Sep 2023,20 Sep 2023,-
511549,MORARKFI,Morarka Finance Ltd,18 Sep 2023,Final Dividend - Rs. - 5.0000,19 Sep 2023,-,-,-,-,-
513683,NLCINDIA,NLC India Ltd,18 Sep 2023,Final Dividend - Rs. - 2.0000,-,20 Sep 2023,26 Sep 2023,13 Sep 2023,20 Sep 2023,-
504879,ORIENTCER,Orient Ceratech Ltd-$,18 Sep 2023,Final Dividend - Rs. - 0.2500,-,19 Sep 2023,25 Sep 2023,13 Sep 2023,18 Sep 2023,-
543530,PARADEEP,Paradeep Phosphates Ltd,18 Sep 2023,Final Dividend - Rs. - 0.5000,19 Sep 2023,-,-,13 Sep 2023,18 Sep 2023,-
542684,PPL,Prakash Pipes Ltd,18 Sep 2023,Final Dividend - Rs. - 1.2000,-,19 Sep 2023,21 Sep 2023,13 Sep 2023,18 Sep 2023,-
531412,RADIXIND,Radix Industries (India) Ltd,18 Sep 2023,Final Dividend - Rs. - 1.0000,-,19 Sep 2023,25 Sep 2023,13 Sep 2023,18 Sep 2023,-
524480,RIDDHI,Riddhi Siddhi Gluco Biols Ltd-$,18 Sep 2023,Final Dividend - Rs. - 1.5000,-,20 Sep 2023,26 Sep 2023,13 Sep 2023,20 Sep 2023,-
532699,ROHLTD,Royal Orchid Hotels Ltd,18 Sep 2023,Final Dividend - Rs. - 2.0000,18 Sep 2023,-,-,12 Sep 2023,18 Sep 2023,-
506642,SADHNANIQ,Sadhana Nitro Chem Ltd,18 Sep 2023,Final Dividend - Rs. - 0.1500,-,20 Sep 2023,26 Sep 2023,13 Sep 2023,20 Sep 2023,-
535789,SAMMAANCAP,Sammaan Capital Ltd,18 Sep 2023,Final Dividend - Rs. - 1.2500,18 Sep 2023,-,-,12 Sep 2023,18 Sep 2023,-
530125,SAMRATPH,Samrat Pharmachem Ltd-$,18 Sep 2023,Dividend - Rs. - 1.0000,18 Sep 2023,-,-,-,-,-
523116,SANCTRN,Sanco Trans Ltd,18 Sep 2023,Dividend - Rs. - 1.2000,-,19 Sep 2023,25 Sep 2023,13 Sep 2023,18 Sep 2023,-
524703,SANDUPHQ,Sandu Pharmaceuticals Ltd,18 Sep 2023,Final Dividend - Rs. - 0.7500,-,20 Sep 2023,30 Sep 2023,13 Sep 2023,20 Sep 2023,-
542725,SBC,SBC Exports Ltd,18 Sep 2023,Final Dividend - Rs. - 0.0500,-,20 Sep 2023,26 Sep 2023,13 Sep 2023,20 Sep 2023,-
513097,SBCL,Shivalik Bimetal Controls Ltd,18 Sep 2023,Final Dividend - Rs. - 0.7000,-,20 Sep 2023,26 Sep 2023,13 Sep 2023,20 Sep 2023,-
540497,SCHAND,S Chand and Company Ltd,18 Sep 2023,Final Dividend - Rs. - 3.0000,19 Sep 2023,-,-,13 Sep 2023,18 Sep 2023,-
535602,SHARDAMOTR,Sharda Motor Industries Ltd,18 Sep 2023,Final Dividend - Rs. - 17.2700,-,20 Sep 2023,26 Sep 2023,13 Sep 2023,20 Sep 2023,-
533014,SICAGEN,Sicagen India Ltd,18 Sep 2023,Dividend - Rs. - 0.6000,-,20 Sep 2023,26 Sep 2023,13 Sep 2023,20 Sep 2023,-
503811,SIYSIL,Siyaram Silk Mills Ltd-$,18 Sep 2023,Buy Back of Shares ,18 Sep 2023,-,-,12 Sep 2023,18 Sep 2023,-
542232,SRD,Shankar Lal Rampal Dye-Chem Ltd,18 Sep 2023,Final Dividend - Rs. - 0.0500,18 Sep 2023,-,-,12 Sep 2023,18 Sep 2023,-
532842,SRHHYPOLTD,Sree Rayalaseema Hi-Strength Hypo Ltd,18 Sep 2023,Final Dividend - Rs. - 4.0000,-,20 Sep 2023,26 Sep 2023,13 Sep 2023,20 Sep 2023,-
512381,STARTECK,Starteck Finance Ltd,18 Sep 2023,Final Dividend - Rs. - 0.2500,19 Sep 2023,-,-,13 Sep 2023,18 Sep 2023,-
543622,STML,Steelman Telecom Ltd,18 Sep 2023,E.G.M. ,-,19 Sep 2023,25 Sep 2023,13 Sep 2023,18 Sep 2023,-
532509,SUPRAJIT,Suprajit Engineering Ltd-$,18 Sep 2023,Final Dividend - Rs. - 1.2500,-,19 Sep 2023,25 Sep 2023,13 Sep 2023,18 Sep 2023,-
505400,TEXINFRA,Texmaco Infrastructure & Holdings Ltd,18 Sep 2023,Dividend - Rs. - 0.1500,-,19 Sep 2023,25 Sep 2023,13 Sep 2023,18 Sep 2023,-
533326,TEXRAIL,Texmaco Rail & Engineering Ltd,18 Sep 2023,Dividend - Rs. - 0.1500,-,19 Sep 2023,25 Sep 2023,13 Sep 2023,18 Sep 2023,-
532856,TIMETECHNO,Time Technoplast Ltd,18 Sep 2023,Final Dividend - Rs. - 1.2500,-,20 Sep 2023,26 Sep 2023,13 Sep 2023,20 Sep 2023,-
500777,TNPETRO,Tamilnadu Petroproducts Ltd,18 Sep 2023,Final Dividend - Rs. - 1.5000,-,19 Sep 2023,26 Sep 2023,13 Sep 2023,18 Sep 2023,-
